ID_школы;Название_школы;Город;Регион;Ссылка_на_страницу
544b911e-5cdc-4703-8c0e-752d06651c59;МОУ Микулинская гимназия;г. Микулино;;https://uchi.ru/schools/pages/544b911e-5cdc-4703-8c0e-752d06651c59
db9c03df-ce24-4375-ab86-7498e8113284;МБОУ Калиновская СОШ;г. Калиновка;;https://uchi.ru/schools/pages/db9c03df-ce24-4375-ab86-7498e8113284
ca701a12-596c-45e4-9416-ee1a59a2659f;МБОУ Дединовская школа-интернат среднего общего образования;г. Дединово;;https://uchi.ru/schools/pages/ca701a12-596c-45e4-9416-ee1a59a2659f
2aacf32f-7375-4ff7-a462-f67a72d4b079;МБОУ СОШ №20 пос. Зеленый;г. Ногинск;;https://uchi.ru/schools/pages/2aacf32f-7375-4ff7-a462-f67a72d4b079
7e894e7d-358b-410a-877c-c9839e8bfe81;МАОУ Зареченская СОШ;г. Заречье;;https://uchi.ru/schools/pages/7e894e7d-358b-410a-877c-c9839e8bfe81
ed0922d0-ed8a-406c-96d9-3320c68bb2c8;МОУ для детей дошкольного и младшего школьного возраста НОШ - детский сад д Алферово;г. Алферово;;https://uchi.ru/schools/pages/ed0922d0-ed8a-406c-96d9-3320c68bb2c8
2bfa7de6-2dd2-4964-b08b-4edb2ec06ef7;МОУ Проводниковская ООШ им. Героя РФ А. С. Маслова;г. Проводник;;https://uchi.ru/schools/pages/2bfa7de6-2dd2-4964-b08b-4edb2ec06ef7
53b81958-3dfc-4255-83b4-e1f24c7d9904;МОУ Рыболовская СОШ;г. Рыболово;;https://uchi.ru/schools/pages/53b81958-3dfc-4255-83b4-e1f24c7d9904
6ad808f2-9e24-47a1-a774-972595363480;МБОУ Начальная школа-детский сад № 1 компенсирующего вида;г. Сергиев Посад;;https://uchi.ru/schools/pages/6ad808f2-9e24-47a1-a774-972595363480
8f0880da-fd97-4710-a338-e41a5bb8cb5f;МОУ СОШ №3;г. Электросталь;;https://uchi.ru/schools/pages/8f0880da-fd97-4710-a338-e41a5bb8cb5f
19236d7c-a3c6-42ab-9de4-360ba8c7952c;МОУ Раменская СОШ;г. Раменье;;https://uchi.ru/schools/pages/19236d7c-a3c6-42ab-9de4-360ba8c7952c
34bf965d-d2cc-42ff-a6bb-ae5517d88c20;МАОУ Лицей 21;г. Сходня;;https://uchi.ru/schools/pages/34bf965d-d2cc-42ff-a6bb-ae5517d88c20
4c335edf-b20e-43a0-b444-1353f7505348;МБОУ СОШ № 36 Новые горизонты;г. Бородино;;https://uchi.ru/schools/pages/4c335edf-b20e-43a0-b444-1353f7505348
f927ce4b-cbec-44da-9d5e-7f2f794cda24;МБОУ Новобытовская СОШ;г. Чехов;;https://uchi.ru/schools/pages/f927ce4b-cbec-44da-9d5e-7f2f794cda24
7699c41b-bf10-4d85-a98d-40b9e06485ff;МОУ Решоткинская ООШ;г. Решоткино;;https://uchi.ru/schools/pages/7699c41b-bf10-4d85-a98d-40b9e06485ff
527c057c-a54d-44e2-b39e-83cc554a6f92;МОУ Cудниковская ООШ;г. Судниково;;https://uchi.ru/schools/pages/527c057c-a54d-44e2-b39e-83cc554a6f92
cfc813ba-a8e0-4c5c-a4f3-8c00bef2a4eb;МАОУ Дмитровская ОШИ для обучающихся с ОВЗ;г. Дмитров;;https://uchi.ru/schools/pages/cfc813ba-a8e0-4c5c-a4f3-8c00bef2a4eb
0b3675cd-6530-4630-a283-3ad76696d1b7;МБОУ СОШ Наследие;г. Химки;;https://uchi.ru/schools/pages/0b3675cd-6530-4630-a283-3ad76696d1b7
864b9715-a9d7-4ab5-901a-e343432602d7;МБОУ Видновская СОШ № 6;г. Видное;;https://uchi.ru/schools/pages/864b9715-a9d7-4ab5-901a-e343432602d7
7f389c48-e634-4836-9faa-53799e9ebf21;МБОУ Начальная школа-детский сад Лучик для обучающихся с ограниченными возможностями здоровья г. Реутова;г. Реутов;;https://uchi.ru/schools/pages/7f389c48-e634-4836-9faa-53799e9ebf21
e19a1778-d2f8-43fe-9b7f-3e428c28f343;МОУ Слободская ООШ;г. Слобода;;https://uchi.ru/schools/pages/e19a1778-d2f8-43fe-9b7f-3e428c28f343
06c06c7c-fcfd-4ede-aae7-fc9a5ad5446c;МОУ СОШ №18;г. Воскресенск;;https://uchi.ru/schools/pages/06c06c7c-fcfd-4ede-aae7-fc9a5ad5446c
7ce5dea5-db12-4a5e-85a2-08cac2104fd2;МБОУ НОШ № 13;г. Сергиев Посад;;https://uchi.ru/schools/pages/7ce5dea5-db12-4a5e-85a2-08cac2104fd2
7291b34c-7b7a-4849-87b2-0ff41cd5880d;МОУ - Новощаповская СОШ им. героя Советского Союза П. П. Едунова;г. Клин;;https://uchi.ru/schools/pages/7291b34c-7b7a-4849-87b2-0ff41cd5880d
d73ca38e-3b0f-4b3c-bd7b-688b182c8eff;МБОУ Дорская СОШ;г. Дор;;https://uchi.ru/schools/pages/d73ca38e-3b0f-4b3c-bd7b-688b182c8eff
74ef5a65-b738-4439-af22-b4b7c7977d68;МАОУ СОШ Гармония;г. Воскресенск;;https://uchi.ru/schools/pages/74ef5a65-b738-4439-af22-b4b7c7977d68
76b870c5-4971-4495-bf3d-e2db861fed48;МБОУ Асаковская СОШ;г. Чупряково;;https://uchi.ru/schools/pages/76b870c5-4971-4495-bf3d-e2db861fed48
543e0da4-93a9-43b4-954d-dc9af160712b;ГБОУ Московской области Чкаловская ОШИ с ограниченными возможностями здоровья;г. Щелково;;https://uchi.ru/schools/pages/543e0da4-93a9-43b4-954d-dc9af160712b
f8831f33-7516-45cf-9f20-e5904aab5e14;НеГОЧУ Подснежник;г. Балашиха;;https://uchi.ru/schools/pages/f8831f33-7516-45cf-9f20-e5904aab5e14
dc40736f-e65a-4ac8-8ad1-8bb30eb6b641;МБОУ общеобразовательная школа 19;г. Ногинск;;https://uchi.ru/schools/pages/dc40736f-e65a-4ac8-8ad1-8bb30eb6b641
029ce8fd-da57-4d6b-820a-b0ebae7b640d;МБОУ Красногорского района Петрово-Дальневская СОШ;г. Петрово-Дальнее;;https://uchi.ru/schools/pages/029ce8fd-da57-4d6b-820a-b0ebae7b640d
978e5340-45d7-4190-b6ae-df0285e6174a;МОУ Быковская СОШ №14;г. Раменское;;https://uchi.ru/schools/pages/978e5340-45d7-4190-b6ae-df0285e6174a
1ddf7777-05da-4529-bfdb-da71f2d1c63e;МОУ СОШ №6;г. Лыткарино;;https://uchi.ru/schools/pages/1ddf7777-05da-4529-bfdb-da71f2d1c63e
4edd4ba3-d987-4901-9165-3bfda6b23b84;МОУ Лучинская СОШ;г. Лучинское;;https://uchi.ru/schools/pages/4edd4ba3-d987-4901-9165-3bfda6b23b84
66767703-7d10-4c19-9fc0-d922fe3316aa;ЧОУ ОШ с углубленным изучением иностранных языков Мир знаний;г. Петрово-Дальнее;;https://uchi.ru/schools/pages/66767703-7d10-4c19-9fc0-d922fe3316aa
18d072c2-c601-4c21-8de9-e878e944f32f;МОУ Серпуховского района Московской области Данковская СОШ;г. Данки;;https://uchi.ru/schools/pages/18d072c2-c601-4c21-8de9-e878e944f32f
6209315d-8b96-4e25-9580-97fd48845d66;МБОУ Школа № 19 для детей с ограниченными возможностями здоровья;г. Коломна;;https://uchi.ru/schools/pages/6209315d-8b96-4e25-9580-97fd48845d66
81e0be6c-ef5e-4a91-a5ed-36ace4e0c67a;МОУ СОШ Гармония;г. Маришкино;;https://uchi.ru/schools/pages/81e0be6c-ef5e-4a91-a5ed-36ace4e0c67a
9c012500-0e17-46ee-8005-f81e0df49e95;МОУ Соболевская СОШ;г. Соболево (Соболевское с/п);;https://uchi.ru/schools/pages/9c012500-0e17-46ee-8005-f81e0df49e95
96e8c2c1-f4c5-4d35-a95b-78cd3c102e7f;Орловская ООШ . д. Мизиново городского округа Лосино-Петровский Московской области;г. Лосино-Петровский;;https://uchi.ru/schools/pages/96e8c2c1-f4c5-4d35-a95b-78cd3c102e7f
ced936ab-43f4-4396-87a8-6b3f8e66e9f4;МОУ Малодубенская СОШ №7;г. Орехово-Зуево;;https://uchi.ru/schools/pages/ced936ab-43f4-4396-87a8-6b3f8e66e9f4
b323f721-fdd4-4073-a77f-85bb6ca04bee;МОУ Волоколамская НОШ №4;г. Волоколамск;;https://uchi.ru/schools/pages/b323f721-fdd4-4073-a77f-85bb6ca04bee
17e9f6e7-2d92-446a-bc09-0a0450ec764c;МОУ Павлищевская СОШ;г. Павлищево;;https://uchi.ru/schools/pages/17e9f6e7-2d92-446a-bc09-0a0450ec764c
eaf02c88-a502-4055-a6e6-c250515de881;МБОУ городского округа Коломны Хорошовская СОШ;г. Коломна;;https://uchi.ru/schools/pages/eaf02c88-a502-4055-a6e6-c250515de881
2da826a1-5b94-4433-bdf9-a9a76831ea00;МБОУ СОШ -интернат г. Кашира;г. Кашира;;https://uchi.ru/schools/pages/2da826a1-5b94-4433-bdf9-a9a76831ea00
f1c0873a-1d51-4aa1-9c78-25f808aa699a;МОУ Быковская СОШ;г. Подольск;;https://uchi.ru/schools/pages/f1c0873a-1d51-4aa1-9c78-25f808aa699a
6daa0eec-985a-457e-90a7-1fc74f45d072;Образовательный центр Новая школа;г. Истра;;https://uchi.ru/schools/pages/6daa0eec-985a-457e-90a7-1fc74f45d072
2151580c-9f71-466f-adc0-e8b2153e17ab;МОУ Ворошиловская СОШ;г. Можайск;;https://uchi.ru/schools/pages/2151580c-9f71-466f-adc0-e8b2153e17ab
e4bb8e5a-bd76-4123-969a-3a2d7ed8c946;МОУ Кузяевская ООШ Раменский муниципальный район Московская область;г. Раменское;;https://uchi.ru/schools/pages/e4bb8e5a-bd76-4123-969a-3a2d7ed8c946
e8e82020-6cbc-4257-8ac4-448488e1f91a;МБОУ Петровская ООШ Городского округа Шатура;г. Левошево;;https://uchi.ru/schools/pages/e8e82020-6cbc-4257-8ac4-448488e1f91a
8cc898fc-7a9f-4237-917a-ff9868a13b8c;Частная ОШ Англикон;г. Химки;;https://uchi.ru/schools/pages/8cc898fc-7a9f-4237-917a-ff9868a13b8c
ab7e756e-dbc5-40ec-881a-af66e7c5adb0;МОУ Клёмовская СОШ;г. Новоклемово;;https://uchi.ru/schools/pages/ab7e756e-dbc5-40ec-881a-af66e7c5adb0
fce78508-2da0-4bbe-a331-2acb37ed543e;МБОУ СОШ №23 имени С. И. Руденко городского округа Щёлково;г. Монино;;https://uchi.ru/schools/pages/fce78508-2da0-4bbe-a331-2acb37ed543e
3c5ce265-cbbf-4a6f-baaa-9bc26d90325c;МОУ - Клементьевская СОШ;г. Можайск;;https://uchi.ru/schools/pages/3c5ce265-cbbf-4a6f-baaa-9bc26d90325c
6b46a712-e430-4252-8020-82cf1946247c;МОУ Чернореченская ООШ;г. Акатьево;;https://uchi.ru/schools/pages/6b46a712-e430-4252-8020-82cf1946247c
08a1ba51-250a-41f5-b7d4-4e0579a7a3e2;МАОУ Гимназия имени Александра Александровича Пушкина городского округа Бронницы;г. Бронницы;;https://uchi.ru/schools/pages/08a1ba51-250a-41f5-b7d4-4e0579a7a3e2
5ae629ea-8dd4-4951-ae62-c07f0cb1595e;МБОУ Дубневская СОШ;г. Дубнево;;https://uchi.ru/schools/pages/5ae629ea-8dd4-4951-ae62-c07f0cb1595e
207914e6-6af4-4364-b667-eaf641a10115;МАОУ Видновская НОШ Прогимназия;г. Видное;;https://uchi.ru/schools/pages/207914e6-6af4-4364-b667-eaf641a10115
258feb36-bd09-4b56-8250-7d3af1c5585a;МБОУ Салтыковская гимназия;г. Салтыковка;;https://uchi.ru/schools/pages/258feb36-bd09-4b56-8250-7d3af1c5585a
0f4c3e95-475c-46c2-9d91-0e5aa4e6bfc1;МОУ СОШ Интеграция;г. Ратчино;;https://uchi.ru/schools/pages/0f4c3e95-475c-46c2-9d91-0e5aa4e6bfc1
b3c2ed4a-1d53-499f-b504-75eb32ee6422;МКОУ Стремиловская ООШ;г. Стремилово;;https://uchi.ru/schools/pages/b3c2ed4a-1d53-499f-b504-75eb32ee6422
4f6439a8-96a4-4d93-ab86-5754944a1a05;МОУ Цыбинская СОШ;г. Воскресенск;;https://uchi.ru/schools/pages/4f6439a8-96a4-4d93-ab86-5754944a1a05
3f01f75c-32f0-4eb8-af28-ca6ed90eb6fd;МОУ Дрезненская гимназия;г. Дрезна;;https://uchi.ru/schools/pages/3f01f75c-32f0-4eb8-af28-ca6ed90eb6fd
